coordinate,title,pdf title,page no.
"Rect(550.6489868164062, 392.635986328125, 572.5859985351562, 401.5769958496094)",348428,PetroShare 2018 10K AR,9
"Rect(56.63999938964844, 309.822998046875, 397.2909851074219, 348.6520080566406)",348487,Helios 8 Apr 2019 PR,1
"Rect(56.63999938964844, 642.4540405273438, 552.9970092773438, 666.8790283203125)",348488,Helios 8 Apr 2019 PR,2
"Rect(296.9909973144531, 609.06201171875, 324.7179870605469, 618.4549560546875)",348493,Otto 2018-H2 Report,7
"Rect(346.30499267578125, 609.06201171875, 415.0820007324219, 618.4549560546875)",348494,Otto 2018-H2 Report,7
"Rect(276.4909973144531, 479.1999816894531, 337.5950012207031, 488.7319641113281)",348497,Winchester 08 Apr 2019 PR,1
"Rect(272.57000732421875, 327.6199951171875, 332.5780029296875, 337.1519775390625)",348498,Winchester 08 Apr 2019 PR,2
"Rect(128.77999877929688, 357.1399841308594, 173.28199768066406, 364.77899169921875)",348499,Winchester 08 Apr 2019 PR,2
